"seed","phi","sample_size","model","equation","parameter","value"
21,0,1000,"Strict","ES","Slope",0.802825005078304
22,0,1000,"Auxiliary","Q","Intercept",-0.168403813037961
22,0,1000,"Auxiliary","Q","Slope",0.819535036622304
22,0,1000,"Auxiliary","ES","Intercept",-0.261483632022398
22,0,1000,"Auxiliary","ES","Slope",0.700147316064637
22,0,1000,"Strict","Q","Intercept",-0.168384076404189
22,0,1000,"Strict","Q","Slope",0.687097742756554
22,0,1000,"Strict","ES","Intercept",-0.261291099276024
22,0,1000,"Strict","ES","Slope",0.700121228217942
23,0,1000,"Auxiliary","Q","Intercept",0.312409199233379
23,0,1000,"Auxiliary","Q","Slope",1.41532874768387
23,0,1000,"Auxiliary","ES","Intercept",0.162402840204356
23,0,1000,"Auxiliary","ES","Slope",1.17658758947917
23,0,1000,"Strict","Q","Intercept",0.312413333163445
23,0,1000,"Strict","Q","Slope",1.186586751037
23,0,1000,"Strict","ES","Intercept",0.163125976732625
23,0,1000,"Strict","ES","Slope",1.17699143279341
24,0,1000,"Auxiliary","Q","Intercept",-0.481344537467886
24,0,1000,"Auxiliary","Q","Slope",0.477498820913689
24,0,1000,"Auxiliary","ES","Intercept",-0.597401341169708
24,0,1000,"Auxiliary","ES","Slope",0.439269431571836
24,0,1000,"Strict","Q","Intercept",-0.48135826113769
24,0,1000,"Strict","Q","Slope",0.40031158456116
24,0,1000,"Strict","ES","Intercept",-0.596062835487486
24,0,1000,"Strict","ES","Slope",0.44062268474117
25,0,1000,"Auxiliary","Q","Intercept",0.00776963576553902
25,0,1000,"Auxiliary","Q","Slope",0.98515680364628
25,0,1000,"Auxiliary","ES","Intercept",0.0441307133969422
25,0,1000,"Auxiliary","ES","Slope",1.03300337097215
25,0,1000,"Strict","Q","Intercept",0.00802922299634945
25,0,1000,"Strict","Q","Slope",0.826157923926204
25,0,1000,"Strict","ES","Intercept",0.0418155053178733
25,0,1000,"Strict","ES","Slope",1.03069711194401
26,0,1000,"Auxiliary","Q","Intercept",-0.0164065441825225
26,0,1000,"Auxiliary","Q","Slope",1.05308156769268
26,0,1000,"Auxiliary","ES","Intercept",-0.0579112641847312
26,0,1000,"Auxiliary","ES","Slope",0.969371810613076
26,0,1000,"Strict","Q","Intercept",-0.0164109165287392
26,0,1000,"Strict","Q","Slope",0.882877695320275
26,0,1000,"Strict","ES","Intercept",-0.0526898478349893
26,0,1000,"Strict","ES","Slope",0.974682136415539
27,0,1000,"Auxiliary","Q","Intercept",-0.667807661364027
27,0,1000,"Auxiliary","Q","Slope",0.235822279948257
27,0,1000,"Auxiliary","ES","Intercept",-0.647894918204946
27,0,1000,"Auxiliary","ES","Slope",0.324886753198158
27,0,1000,"Strict","Q","Intercept",-0.667800173883986
27,0,1000,"Strict","Q","Slope",0.197712562445333
27,0,1000,"Strict","ES","Intercept",-0.649939554634745
27,0,1000,"Strict","ES","Slope",0.322916411417349
28,0,1000,"Auxiliary","Q","Intercept",-0.197302006157501
28,0,1000,"Auxiliary","Q","Slope",0.758499439133607
28,0,1000,"Auxiliary","ES","Intercept",-0.0381839305281635
28,0,1000,"Auxiliary","ES","Slope",0.968506553195563
28,0,1000,"Strict","Q","Intercept",-0.196846913710728
28,0,1000,"Strict","Q","Slope",0.636215213104215
28,0,1000,"Strict","ES","Intercept",-0.0279100491114652
28,0,1000,"Strict","ES","Slope",0.978615201149247
29,0,1000,"Auxiliary","Q","Intercept",0.0659347829482011
29,0,1000,"Auxiliary","Q","Slope",1.1857264117802
29,0,1000,"Auxiliary","ES","Intercept",-0.0921763843043162
29,0,1000,"Auxiliary","ES","Slope",0.995893719888934
29,0,1000,"Strict","Q","Intercept",0.0659368879832387
29,0,1000,"Strict","Q","Slope",0.994089120868877
29,0,1000,"Strict","ES","Intercept",-0.0931335495131713
29,0,1000,"Strict","ES","Slope",0.995252897463435
30,0,1000,"Auxiliary","Q","Intercept",0.226920698628962
30,0,1000,"Auxiliary","Q","Slope",1.28544352276491
30,0,1000,"Auxiliary","ES","Intercept",0.282740466066598
30,0,1000,"Auxiliary","ES","Slope",1.29456687286023
30,0,1000,"Strict","Q","Intercept",0.226900744869226
30,0,1000,"Strict","Q","Slope",1.07767450999677
30,0,1000,"Strict","ES","Intercept",0.282461692303412
30,0,1000,"Strict","ES","Slope",1.29458395951458
31,0,1000,"Auxiliary","Q","Intercept",0.0362825989945952
31,0,1000,"Auxiliary","Q","Slope",1.09596469835934
31,0,1000,"Auxiliary","ES","Intercept",-0.134129129367453
31,0,1000,"Auxiliary","ES","Slope",0.87080122205547
31,0,1000,"Strict","Q","Intercept",0.0362716909234677
31,0,1000,"Strict","Q","Slope",0.918821060271156
31,0,1000,"Strict","ES","Intercept",-0.127969610895333
31,0,1000,"Strict","ES","Slope",0.876932248248573
32,0,1000,"Auxiliary","Q","Intercept",0.0284166027553598
32,0,1000,"Auxiliary","Q","Slope",1.03720743083217
32,0,1000,"Auxiliary","ES","Intercept",-0.0186724968481329
32,0,1000,"Auxiliary","ES","Slope",0.999782194741821
32,0,1000,"Strict","Q","Intercept",0.0283474290471428
32,0,1000,"Strict","Q","Slope",0.869512760500968
32,0,1000,"Strict","ES","Intercept",-0.0193927053894851
32,0,1000,"Strict","ES","Slope",1.00014307265759
33,0,1000,"Auxiliary","Q","Intercept",0.0873698891489321
33,0,1000,"Auxiliary","Q","Slope",1.12711275142388
33,0,1000,"Auxiliary","ES","Intercept",0.433845961346776
33,0,1000,"Auxiliary","ES","Slope",1.4595382303642
33,0,1000,"Strict","Q","Intercept",0.0873720257364523
33,0,1000,"Strict","Q","Slope",0.944945111983896
33,0,1000,"Strict","ES","Intercept",0.433842146127285
33,0,1000,"Strict","ES","Slope",1.45963273914096
34,0,1000,"Auxiliary","Q","Intercept",0.105573157422432
34,0,1000,"Auxiliary","Q","Slope",1.12320156489811
34,0,1000,"Auxiliary","ES","Intercept",-0.258732485123278
34,0,1000,"Auxiliary","ES","Slope",0.723762384399583
34,0,1000,"Strict","Q","Intercept",0.105581212479794
34,0,1000,"Strict","Q","Slope",0.941677155115178
34,0,1000,"Strict","ES","Intercept",-0.256329748984455
34,0,1000,"Strict","ES","Slope",0.726119696395027
35,0,1000,"Auxiliary","Q","Intercept",-0.285219006313967
35,0,1000,"Auxiliary","Q","Slope",0.623157927061631
35,0,1000,"Auxiliary","ES","Intercept",-0.218345767494992
35,0,1000,"Auxiliary","ES","Slope",0.726664558194285
35,0,1000,"Strict","Q","Intercept",-0.284243005919878
35,0,1000,"Strict","Q","Slope",0.523386118042821
35,0,1000,"Strict","ES","Intercept",-0.215751342127001
35,0,1000,"Strict","ES","Slope",0.729224207321921
36,0,1000,"Auxiliary","Q","Intercept",0.0229823985652338
36,0,1000,"Auxiliary","Q","Slope",1.01736516644289
36,0,1000,"Auxiliary","ES","Intercept",0.0174278086669311
36,0,1000,"Auxiliary","ES","Slope",1.00142367888243
36,0,1000,"Strict","Q","Intercept",0.02297464379614
36,0,1000,"Strict","Q","Slope",0.852932123497915
36,0,1000,"Strict","ES","Intercept",0.0115359285486192
36,0,1000,"Strict","ES","Slope",0.996303757450767
37,0,1000,"Auxiliary","Q","Intercept",0.190812149546038
37,0,1000,"Auxiliary","Q","Slope",1.25404244267325
37,0,1000,"Auxiliary","ES","Intercept",0.269982844298439
37,0,1000,"Auxiliary","ES","Slope",1.28039311122311
37,0,1000,"Strict","Q","Intercept",0.190813888704988
37,0,1000,"Strict","Q","Slope",1.05136300921051
37,0,1000,"Strict","ES","Intercept",0.267148535633443
37,0,1000,"Strict","ES","Slope",1.27787280786052
38,0,1000,"Auxiliary","Q","Intercept",-0.107003303317015
38,0,1000,"Auxiliary","Q","Slope",0.787874548369161
38,0,1000,"Auxiliary","ES","Intercept",-0.00154572767317318
38,0,1000,"Auxiliary","ES","Slope",0.903542782334908
38,0,1000,"Strict","Q","Intercept",-0.10699423147172
38,0,1000,"Strict","Q","Slope",0.660546543842365
38,0,1000,"Strict","ES","Intercept",-0.000415765699789183
38,0,1000,"Strict","ES","Slope",0.90539631537444
39,0,1000,"Auxiliary","Q","Intercept",0.0796517747990813
39,0,1000,"Auxiliary","Q","Slope",1.07949958898255
39,0,1000,"Auxiliary","ES","Intercept",-0.0461896231429029
39,0,1000,"Auxiliary","ES","Slope",0.936834229928036
39,0,1000,"Strict","Q","Intercept",0.0796418471540943
39,0,1000,"Strict","Q","Slope",0.90502166595536
39,0,1000,"Strict","ES","Intercept",-0.0451352623675894
39,0,1000,"Strict","ES","Slope",0.938441448646431
40,0,1000,"Auxiliary","Q","Intercept",0.26022545278343
40,0,1000,"Auxiliary","Q","Slope",1.34011560863167
40,0,1000,"Auxiliary","ES","Intercept",0.5144167007831
40,0,1000,"Auxiliary","ES","Slope",1.54675963825388
40,0,1000,"Strict","Q","Intercept",0.260537393336856
40,0,1000,"Strict","Q","Slope",1.12391414344337
40,0,1000,"Strict","ES","Intercept",0.51381537894195
40,0,1000,"Strict","ES","Slope",1.54599556786317
41,0,1000,"Auxiliary","Q","Intercept",-0.284624663797088
41,0,1000,"Auxiliary","Q","Slope",0.674222964204809
41,0,1000,"Auxiliary","ES","Intercept",-0.343881909298976
41,0,1000,"Auxiliary","ES","Slope",0.658012211005917
41,0,1000,"Strict","Q","Intercept",-0.284637702368447
41,0,1000,"Strict","Q","Slope",0.565242411264288
41,0,1000,"Strict","ES","Intercept",-0.342014716599799
41,0,1000,"Strict","ES","Slope",0.659470723843648
42,0,1000,"Auxiliary","Q","Intercept",0.288804149252981
42,0,1000,"Auxiliary","Q","Slope",1.39146213952809
42,0,1000,"Auxiliary","ES","Intercept",0.506659986013632
42,0,1000,"Auxiliary","ES","Slope",1.52988114635981
42,0,1000,"Strict","Q","Intercept",0.288813965499833
42,0,1000,"Strict","Q","Slope",1.16657937585743
42,0,1000,"Strict","ES","Intercept",0.507284849409289
42,0,1000,"Strict","ES","Slope",1.53044246673223
43,0,1000,"Auxiliary","Q","Intercept",-0.0439754639256895
43,0,1000,"Auxiliary","Q","Slope",0.88298279381615
43,0,1000,"Auxiliary","ES","Intercept",0.0576233695821164
43,0,1000,"Auxiliary","ES","Slope",0.995803216940098
43,0,1000,"Strict","Q","Intercept",-0.0439338775878197
43,0,1000,"Strict","Q","Slope",0.740322498802949
43,0,1000,"Strict","ES","Intercept",0.0569180199691237
43,0,1000,"Strict","ES","Slope",0.994831188629337
44,0,1000,"Auxiliary","Q","Intercept",0.466276565772011
44,0,1000,"Auxiliary","Q","Slope",1.54336737915618
44,0,1000,"Auxiliary","ES","Intercept",0.327229218527677
44,0,1000,"Auxiliary","ES","Slope",1.33358967271736
44,0,1000,"Strict","Q","Intercept",0.466274303446889
44,0,1000,"Strict","Q","Slope",1.29392412472953
44,0,1000,"Strict","ES","Intercept",0.32858166160292
44,0,1000,"Strict","ES","Slope",1.3371361048169
45,0,1000,"Auxiliary","Q","Intercept",0.00153129675379038
45,0,1000,"Auxiliary","Q","Slope",1.03431612644416
45,0,1000,"Auxiliary","ES","Intercept",-0.187854672786881
45,0,1000,"Auxiliary","ES","Slope",0.840036277292619
45,0,1000,"Strict","Q","Intercept",0.00155092262811496
45,0,1000,"Strict","Q","Slope",0.867165058125955
45,0,1000,"Strict","ES","Intercept",-0.188240517581712
45,0,1000,"Strict","ES","Slope",0.840444241737353
46,0,1000,"Auxiliary","Q","Intercept",0.0798551861083696
46,0,1000,"Auxiliary","Q","Slope",1.11887581984542
46,0,1000,"Auxiliary","ES","Intercept",0.02827914381477
46,0,1000,"Auxiliary","ES","Slope",1.03693839253228
46,0,1000,"Strict","Q","Intercept",0.0798565755002798
46,0,1000,"Strict","Q","Slope",0.938039611214613
46,0,1000,"Strict","ES","Intercept",0.0282829769501352
46,0,1000,"Strict","ES","Slope",1.03730869421421
47,0,1000,"Auxiliary","Q","Intercept",-0.133834179693997
47,0,1000,"Auxiliary","Q","Slope",0.943163031551996
47,0,1000,"Auxiliary","ES","Intercept",-0.0820659382736484
47,0,1000,"Auxiliary","ES","Slope",0.967879438813194
47,0,1000,"Strict","Q","Intercept",-0.133832880340552
47,0,1000,"Strict","Q","Slope",0.790727320105372
